Population,Per Capita Income,Average Rent,City,Median Household Income
1041.0,23781.0,338.0,ARENAS VALLEY,35972.0
1227.0,25014.0,337.0,ARENZVILLE,58274.0
2372.0,32240.0,468.0,ARGENTA,53807.0
1499.0,27074.0,,ARGILLITE,61932.0
811.0,24598.0,424.0,ARGONIA,55250.0
1272.0,18766.0,473.0,ARGONNE,37986.0
3892.0,21281.0,477.0,ARGOS,47500.0
640.0,36930.0,267.0,ARGUSVILLE,86705.0
27260.0,26670.4,628.6,ARGYLE,60101.1
836.0,30484.0,434.0,ARIEL,58094.0
548.0,18929.0,525.0,ARIMO,40966.0
248.0,15054.0,,ARION,33281.0
10.0,,,ARIPEKA,
336.0,21300.0,,ARISTES,46875.0
2669.0,20157.0,307.0,ARITON,42865.0
618.0,23507.0,422.0,ARIVACA,32607.0
8310.0,21970.0,640.0,ARIZONA CITY,43996.0
1057.0,14162.0,416.0,ARJAY,26833.0
15845.0,8388.3,436.0,ARKADELPHIA,32189.0
17068.0,19527.0,342.0,ARKANSAS CITY,38579.0
1459.0,23467.0,522.0,ARKANSAW,48281.0
2055.0,22211.0,458.0,ARKDALE,41538.0
1927.0,13587.0,343.0,ARKOMA,23343.0
3088.0,23042.0,476.0,ARKPORT,45821.0
707.0,39051.0,608.0,ARKVILLE,40750.0
2294.0,18636.0,348.0,ARLEE,32128.0
3109.0,27197.0,325.0,ARLEY,44625.0
737493.0,35205.2,932.9,ARLINGTON,69276.8
80888.0,38760.5,1027.5,ARLINGTON HEIGHTS,74688.0
1850.0,17423.0,422.0,ARMA,36169.0
5402.0,31117.0,626.0,ARMADA,75388.0
877.0,23191.0,504.0,ARMAGH,51000.0
134.0,,,ARMBRUST,
613.0,25705.0,519.0,ARMINGTON,58750.0
78.0,32146.0,,ARMINTO,
3738.0,12112.0,682.0,ARMONA,40484.0
7960.0,97947.0,1673.0,ARMONK,182292.0
1196.0,24737.0,334.0,ARMOUR,46250.0
2598.0,24370.3,332.0,ARMSTRONG,52425.3
356.0,26190.0,375.0,ARMSTRONG CREEK,34531.0
2339.0,28826.0,587.0,ARMUCHEE,59400.0
10199.0,20128.0,435.0,ARNAUDVILLE,47027.0
397.0,48695.0,510.0,ARNEGARD,100000.0
1471.0,26093.0,308.0,ARNETT,44224.0
61409.0,32676.5,815.2,ARNOLD,62790.7
1007.0,38855.0,478.0,ARNOLDS PARK,45592.0
1760.0,22448.0,263.0,ARNOLDSBURG,46522.0
1429.0,26896.0,494.0,ARNOLDSVILLE,56000.0
421.0,21150.0,508.0,ARNOT,47000.0
823.0,23235.0,,ARODA,52813.0
382.0,20476.0,675.0,AROMA PARK,41250.0
3689.0,37516.0,987.0,AROMAS,73107.0
433.0,19906.0,531.0,ARONA,43472.0
3594.0,26300.0,669.0,ARP,57964.0
2454.0,21752.0,475.0,ARPIN,54524.0
1231.0,14515.0,,ARREY,31576.0
321.0,19311.0,356.0,ARRIBA,26591.0
4428.0,27731.0,734.0,ARRINGTON,56348.5
37.0,27489.0,,ARROW ROCK,48750.0
610.0,26170.0,536.0,ARROWSMITH,60227.0
19443.0,8208.0,313.0,ARROYO,16350.0
30401.0,34583.0,1134.0,ARROYO GRANDE,67035.0
993.0,21990.0,,ARROYO HONDO,53500.0
1352.0,23462.0,,ARROYO SECO,34773.0
124.0,19730.0,,ART,45500.0
355.0,19954.0,292.0,ARTEMAS,26667.0
759.0,13197.0,341.0,ARTEMUS,24643.0
