Population,Median Household Income,Per Capita Income,Average Rent,Zipcode,City,State
4706.0,54439.0,27452.0,687.0,01535,NORTH BROOKFIELD,MA
7042.0,76063.0,37846.0,931.0,01536,NORTH GRAFTON,MA
2458.0,72607.0,30326.0,728.0,01537,NORTH OXFORD,MA
11148.0,68986.0,29658.0,672.0,01540,OXFORD,MA
3424.0,120607.0,42921.0,841.0,01541,PRINCETON,MA
1782.0,74273.0,31085.0,794.0,01542,ROCHDALE,MA
8075.0,86482.0,33229.0,749.0,01543,RUTLAND,MA
35575.0,92360.0,40098.0,1044.0,01545,SHREWSBURY,MA
16741.0,42471.0,21579.0,718.0,01550,SOUTHBRIDGE,MA
4531.0,81667.0,35305.0,848.0,01560,SOUTH GRAFTON,MA
174.0,19637.0,15914.0,,01561,SOUTH LANCASTER,MA
11733.0,60197.0,28983.0,695.0,01562,SPENCER,MA
7839.0,98872.0,40536.0,1043.0,01564,STERLING,MA
6617.0,82750.0,37893.0,926.0,01566,STURBRIDGE,MA
7431.0,105208.0,42387.0,870.0,01568,UPTON,MA
13559.0,86164.0,35249.0,933.0,01569,UXBRIDGE,MA
16782.0,47885.0,26411.0,717.0,01570,WEBSTER,MA
11445.0,70590.0,28240.0,737.0,01571,DUDLEY,MA
18371.0,100905.0,45929.0,1244.0,01581,WESTBOROUGH,MA
7698.0,72107.0,30780.0,834.0,01583,WEST BOYLSTON,MA
4646.0,62667.0,31262.0,844.0,01585,WEST BROOKFIELD,MA
10350.0,62649.0,29244.0,822.0,01588,WHITINSVILLE,MA
8943.0,110658.0,42341.0,758.0,01590,SUTTON,MA
23707.0,62832.0,31101.0,930.0,01602,WORCESTER,MA
19385.0,48183.0,22315.0,710.0,01603,WORCESTER,MA
34720.0,49797.0,27119.0,853.0,01604,WORCESTER,MA
27279.0,37705.0,21639.0,748.0,01605,WORCESTER,MA
19495.0,66912.0,32781.0,836.0,01606,WORCESTER,MA
8957.0,45152.0,24044.0,809.0,01607,WORCESTER,MA
3558.0,19418.0,11315.0,628.0,01608,WORCESTER,MA
21178.0,40660.0,23846.0,767.0,01609,WORCESTER,MA
23964.0,30532.0,14040.0,759.0,01610,WORCESTER,MA
2481.0,67179.0,33179.0,787.0,01611,CHERRY VALLEY,MA
4856.0,106708.0,35979.0,2001.0,01612,PAXTON,MA
31435.0,86994.0,39361.0,1109.0,01701,FRAMINGHAM,MA
38020.0,53944.0,29023.0,979.0,01702,FRAMINGHAM,MA
343.0,132981.0,62059.0,,01718,VILLAGE OF NAGOG WOODS,MA
5048.0,101502.0,61461.0,842.0,01719,BOXBOROUGH,MA
21804.0,109578.0,53152.0,1119.0,01720,ACTON,MA
16792.0,93233.0,45834.0,1011.0,01721,ASHLAND,MA
13649.0,108818.0,48886.0,1445.0,01730,BEDFORD,MA
1717.0,75446.0,22388.0,2001.0,01731,HANSCOM AFB,MA
4967.0,146029.0,55369.0,961.0,01740,BOLTON,MA
4918.0,160034.0,77585.0,2001.0,01741,CARLISLE,MA
18586.0,135217.0,68920.0,1661.0,01742,CONCORD,MA
305.0,57250.0,40472.0,,01745,FAYVILLE,MA
13811.0,110323.0,46206.0,861.0,01746,HOLLISTON,MA
5928.0,89408.0,38747.0,813.0,01747,HOPEDALE,MA
15271.0,129578.0,56899.0,1165.0,01748,HOPKINTON,MA
19263.0,71971.0,35713.0,968.0,01749,HUDSON,MA
38842.0,70304.0,35335.0,977.0,01752,MARLBOROUGH,MA
10211.0,77622.0,39447.0,850.0,01754,MAYNARD,MA
5851.0,105389.0,41740.0,730.0,01756,MENDON,MA
28252.0,66547.0,32180.0,966.0,01757,MILFORD,MA
33353.0,95328.0,50239.0,1154.0,01760,NATICK,MA
4169.0,153444.0,73420.0,1522.0,01770,SHERBORN,MA
9502.0,150129.0,63375.0,1209.0,01772,SOUTHBOROUGH,MA
4836.0,149539.0,75535.0,1606.0,01773,LINCOLN,MA
6737.0,115714.0,47880.0,1361.0,01775,STOW,MA
17922.0,170924.0,72744.0,526.0,01776,SUDBURY,MA
13280.0,130022.0,68811.0,553.0,01778,WAYLAND,MA
38961.0,75138.0,35354.0,1152.0,01801,WOBURN,MA
24700.0,94272.0,41119.0,1514.0,01803,BURLINGTON,MA
33746.0,112681.0,52275.0,1098.0,01810,ANDOVER,MA
30591.0,87996.0,35975.0,1139.0,01821,BILLERICA,MA
24673.0,104538.0,44267.0,1022.0,01824,CHELMSFORD,MA
29968.0,78169.0,32690.0,1047.0,01826,DRACUT,MA
3255.0,119022.0,48133.0,575.0,01827,DUNSTABLE,MA
25687.0,55255.0,29567.0,866.0,01830,HAVERHILL,MA
22121.0,57833.0,29014.0,821.0,01832,HAVERHILL,MA
8295.0,107775.0,43297.0,1117.0,01833,GEORGETOWN,MA
6675.0,97463.0,40222.0,863.0,01834,GROVELAND,MA
13527.0,72228.0,31429.0,972.0,01835,HAVERHILL,MA
4547.0,18261.0,14758.0,619.0,01840,LAWRENCE,MA
47676.0,31214.0,15117.0,831.0,01841,LAWRENCE,MA
24597.0,42891.0,21024.0,868.0,01843,LAWRENCE,MA
