Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Regular Season	28	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Boston Celtics	105	91				
Regular Season	29	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Orlando Magic	93	83				
Regular Season	29	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Denver Nuggets (2)	105	101				
Regular Season	29	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Philadelphia 76ers	105	84				
Regular Season	29	1	2007	(2006-07)	NBA	Memphis Grizzlies	NBA	Sacramento Kings	124	117				
Regular Season	29	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Phoenix Suns	121	112				
Regular Season	29	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Utah Jazz	116	115				
Regular Season	29	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Portland Trail Blazers	103	91				
Regular Season	30	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Golden State Warriors	124	97				
Regular Season	30	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Oklahoma City Thunder	122	102				
Regular Season	30	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Boston Celtics	103	96				
Regular Season	30	1	2007	(2006-07)	NBA	Miami Heat	NBA	Milwaukee Bucks	110	80				
Regular Season	30	1	2007	(2006-07)	NBA	New York Knicks	NBA	Los Angeles Lakers	99	94				
Regular Season	30	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Detroit Pistons	104	99				
Regular Season	31	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Golden State Warriors	115	94				
Regular Season	31	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	New York Knicks	104	87				
Regular Season	31	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Memphis Grizzlies	95	94				
Regular Season	31	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Brooklyn Nets	113	89				
Regular Season	31	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	112	102				
Regular Season	31	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Chicago Bulls	110	98				
Regular Season	31	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Boston Celtics	111	98				
Regular Season	31	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Milwaukee Bucks	98	73				
Regular Season	31	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	New Orleans Pelicans	89	78				
Regular Season	31	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Denver Nuggets (2)	100	91				
Regular Season	31	1	2007	(2006-07)	NBA	Sacramento Kings	NBA	Minnesota Timberwolves	100	98				
Regular Season	31	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Washington Wizards	119	109				
Regular Season	31	1	2007	(2006-07)	NBA	Utah Jazz	NBA	San Antonio Spurs	97	93				
Regular Season	1	2	2007	(2006-07)	NBA	Miami Heat	NBA	Cleveland Cavaliers	92	89				
Regular Season	1	2	2007	(2006-07)	NBA	Phoenix Suns	NBA	San Antonio Spurs	103	87				
Regular Season	2	2	2007	(2006-07)	NBA	Chicago Bulls	NBA	Oklahoma City Thunder	107	101				
Regular Season	2	2	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Charlotte Hornets	101	81				
Regular Season	2	2	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Portland Trail Blazers	114	107	#			
Regular Season	2	2	2007	(2006-07)	NBA	Detroit Pistons	NBA	Milwaukee Bucks	96	86				
Regular Season	2	2	2007	(2006-07)	NBA	Golden State Warriors	NBA	Philadelphia 76ers	102	101				
Regular Season	2	2	2007	(2006-07)	NBA	Indiana Pacers	NBA	Los Angeles Lakers	95	84				
Regular Season	2	2	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Boston Celtics	100	89				
Regular Season	2	2	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Minnesota Timberwolves	90	83				
Regular Season	2	2	2007	(2006-07)	NBA	Orlando Magic	NBA	Brooklyn Nets	119	86				
Regular Season	2	2	2007	(2006-07)	NBA	Toronto Raptors	NBA	Atlanta Hawks	103	91				
Regular Season	3	2	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Golden State Warriors	98	90				
Regular Season	3	2	2007	(2006-07)	NBA	Chicago Bulls	NBA	Portland Trail Blazers	88	86				
Regular Season	3	2	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Minnesota Timberwolves	94	93				
Regular Season	3	2	2007	(2006-07)	NBA	Indiana Pacers	NBA	Memphis Grizzlies	116	110				
Regular Season	3	2	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Washington Wizards	118	102				
